Date,Day,City,Country,Region,Night,Lover Bodysuit,The Man Jacket,Lover Mic #1,Lover Guitar,Lover Mic #2,Fearless Dress,Fearless Mic,Red Shirt,Red Mic #1,Red Romper,WANEGBT Chant (Kam),Red Guitar,Red Mic #2,Speak Now Gown,Koi Fish Guitar,Speak Now Mic,Reputation Jumpsuit,Reputation Mic,Folklore Dress,Evermore Dress,Standing Ovation,Indie Sister Cloak,Indie Sister Mic,1989 Top,1989 Skirt,Left 1989 Boot,Right 1989 Boot,1989 Match,1989 Mic,TTPD Dress,TTPD Gloves,TTPD Choker,TTPD Mic #1,Broken Heart Set,Broken Heart Jacket,TTPD Mic #2,Surprise Song Dress,Midnights Fur,Midnights Shirt,Midnights Bodysuit,Karma Jacket,Midnights Mic,,Resources
3/17/2023,Friday,Glendale,USA,Southwest,1,Pink & Blue,Silver,Blurple Sparkles,Purple,Pastel,Short Fringe,Gold & Black,A Lot Going On,Red & Black,Red/Black,Like Ever,Red,Black Sparkles,Champagne,No,Purple Metallic,Red & Black,Snake,Purple,Orange,15,Green,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Maroon,Purple,Silver,Lines,Multicolor,Navy Sparkles,,https://docs.google.com/spreadsheets/d/1WZyhckHAwOosHGA65h5dp5SHL5aoUMiyYXcY1k5MYUM/edit?gid=174092590#gid=174092590
3/18/2023,Saturday,Glendale,USA,Southwest,2,Blue & Gold,Black,Blurple Sparkles,Blue,Pastel,Long Gold,Gold & Black,Ew,Red & Black,Red/Black,Like Ever,Red,Black Sparkles,Pink,No,Purple Metallic,Red & Black,Snake,Cream,Orange,88,Green,Wood Grain,Green,Green,Green,Green,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Green,Purple,Blue,Lines,Magenta,Navy Sparkles,,https://docs.google.com/spreadsheets/d/1uvVEEqZsUbWCb61vSmpJRGfwtwoxbU70hkKgJiramHQ/edit?gid=1500331289#gid=1500331289
3/24/2023,Friday,Las Vegas,USA,West,1,Pink & Blue,Silver,Blurple Sparkles,Purple,Pastel,Short Fringe,Gold & Black,A Lot Going On,Red & Black,Red/Black,Like Ever,Red,Black Sparkles,Champagne,No,Purple Metallic,Red & Black,Snake,Pink,Orange,103,Green,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Maroon,Purple,Silver,Swirls,Multicolor,Navy Sparkles,,
3/25/2023,Saturday,Las Vegas,USA,West,2,Blue & Gold,Black,Blurple Sparkles,Pink,Pastel,Long Gold,Gold & Black,Ew,Red & Black,Red/Black,Like Ever,Red,Black Sparkles,Pink,No,Purple Metallic,Red & Black,Snake,Purple,Orange,72,Green,Wood Grain,Green,Green,Green,Green,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Green,Purple,Blue,Lines,Light Pink,Navy Sparkles,,
3/31/2023,Friday,Arlington,USA,Southwest,1,Blue & Gold,Black,Blurple Sparkles,Blue,Pastel,Long Gold,Gold & Black,Never Ever,Red & Black,Red/Black,Like Ever,Red,Black Sparkles,Champagne,No,Purple Metallic,Red & Black,Snake,Cream,Orange,44,Green,Wood Grain,Green,Green,Green,Green,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Green,Purple,Pink,Swirls,Multicolor,Navy Sparkles,,
4/1/2023,Saturday,Arlington,USA,Southwest,2,Pink & Blue,Silver,Blurple Sparkles,Purple,Pastel,Short Fringe,Gold & Black,Ew,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Pink,No,Purple Metallic,Red & Black,Snake,Purple,Orange,36,Green,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Maroon,Purple,Purple,Lines,Magenta,Navy Sparkles,,
4/2/2023,Sunday,Arlington,USA,Southwest,3,Blue & Gold,Black,Blurple Sparkles,Pink,Pastel,Long Gold,Gold & Black,A Lot Going On,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Champagne,No,Purple Metallic,Red & Black,Snake,Pink,Orange,74,Green,Wood Grain,Green,Green,Green,Green,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Green,Purple,Silver,Swirls,Light Pink,Navy Sparkles,,
4/13/2023,Thursday,Tampa,USA,Southeast,1,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Short Fringe,Gold & Black,Ew,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Tissue Flower,No,Purple Metallic,Red & Black,Snake,Green,Orange,90,Green,Wood Grain,Orange,Orange,Orange,Orange,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Yellow,Purple,Purple,Swirls,Multicolor,Navy Sparkles,,
4/14/2023,Friday,Tampa,USA,Southeast,2,Blue & Gold,Black,Blurple Sparkles,Blue,Pastel,Long Gold,Gold & Black,A Lot Going On,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Pink,No,Purple Metallic,Red & Black,Snake,Cream,Orange,45,Green,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Maroon,Purple,Silver,Lines,Light Pink,Navy Sparkles,,
4/15/2023,Saturday,Tampa,USA,Southeast,3,Pink & Blue,Silver,Blurple Sparkles,Purple,Pastel,Short Fringe,Gold & Black,Ew,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Champagne,No,Purple Metallic,Red & Black,Snake,Pink,Orange,114,Green,Wood Grain,Green,Green,Green,Green,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Green,Purple,Pink,Swirls,Magenta,Navy Sparkles,,
4/21/2023,Friday,Houston,USA,Southwest,1,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Short Fringe,Gold & Black,A Lot Going On,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Champagne,No,Purple Metallic,Red & Black,Snake,Cream,Orange,85,Green,Wood Grain,Orange,Orange,Orange,Orange,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Yellow,Purple,Pink,Swirls,Multicolor,Navy Sparkles,,
4/22/2023,Saturday,Houston,USA,Southwest,2,Blue & Gold,Black,Blurple Sparkles,Blue,Pastel,Long Gold,Gold & Black,Ew,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Tissue Flower,No,Purple Metallic,Red & Black,Snake,Purple,Orange,41,Green,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Maroon,Purple,Silver,Lines,Magenta,Navy Sparkles,,
4/23/2023,Sunday,Houston,USA,Southwest,3,Pink & Blue,Silver,Blurple Sparkles,Purple,Pastel,Short Fringe,Gold & Black,Never Ever,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Pink,No,Purple Metallic,Red & Black,Snake,Pink,Orange,97,Green,Wood Grain,Green,Green,Green,Green,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Green,Purple,Purple,Swirls,Light Pink,Navy Sparkles,,
4/28/2023,Friday,Atlanta,USA,Southeast,1,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Short Fringe,Gold & Black,A Lot Going On,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Pink,No,Purple Metallic,Red & Black,Snake,Cream,Orange,70,Green,Wood Grain,Green,Green,Green,Green,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Green,Purple,Silver,Swirls,Magenta,Navy Sparkles,,
